img_link,price,brand_name,product_name
"https://www.rlmedia.io/is/image/PoloGSI/s7-1266639_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$295.00,"
Polo Ralph Lauren
","
Ardenall Suede Monk-Strap Shoe
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1266645_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$275.00,"
Polo Ralph Lauren
","
Agustin Calfskin Penny Loafer
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1266640_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$325.00,"
Polo Ralph Lauren
","
Atley Calfskin Wingtip
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1266637_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$295.00,"
Polo Ralph Lauren
","
Alesky Calfskin Oxford Shoe
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-383384_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000","$1,250.00","
Ralph Lauren
","
Denver Cap-Toe Shoe
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1313646_lifestyle?$rl_392_pdp$,$595.00,"
Purple Label
","
Samwell Loafer
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1313643_lifestyle?$rl_392_pdp$,$895.00,"
Purple Label
","
Meegan Penny Loafer
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1276715_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$695.00,"
Ralph Lauren
","
Bartsworth Calfskin Oxford
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1291805_standard?$rl_392_pdp$,$695.00,"
Ralph Lauren
","
Bevan Suede Monk-Strap Shoe
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-34241_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000","$1,350.00","
Ralph Lauren
","
Marlow Cordovan Tassel Loafer
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1183683_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000","$1,250.00","
Purple Label
","
Dalvin Calfskin Oxford
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1183688_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000","$1,250.00","
Ralph Lauren
","
Darnell Calf Monk-Strap Shoe
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1151006_lifestyle?$rl_392_pdp$,"$25,800.00","
The Stirrup Collection
","
Large Chronograph Rose Gold
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1124800_lifestyle?$rl_392_pdp$,"$2,530.00","
The Stirrup Collection
","
Small Steel
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1124802_lifestyle?$rl_392_pdp$,"$6,500.00","
The Stirrup Collection
","
Medium Steel Black Dial
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1151008_lifestyle?$rl_392_pdp$,"$13,500.00","
The Stirrup Collection
","
Small Rose Gold
"
